Species,Total_protein,Total_IDP
Mucor_circinelloides, 11709, 3378
Mycosphaerella_eumusae, 12632, 5633
Nadsonia_fulvescens, 5649, 1969
Naematelia_encephala, 7964, 3959
Nannizzia_gypsea, 8921, 4114
Naumovozyma_castellii, 5592, 2145
Naumovozyma_dairenensis, 5548, 2312
Nematocida_displodere, 2278, 470
Nematocida_parisii, 2661, 416
Nematocida_parisii, 2726, 418
Nematocida_sp, 2770, 492
Nematocida_sp, 2433, 453
Nematocida_sp, 2709, 442
Neocallimastix_californiae, 20214, 6617
Neofusicoccum_parvum, 10366, 3986
Neolecta_irregularis, 5579, 1705
Neolentinus_lepideus, 13157, 4574
Neonectria_ditissima, 12685, 5523
Neosartorya_fischeri, 10395, 4245
Neurospora_crassa, 10813, 6148
Neurospora_crassa, 11653, 5705
Neurospora_tetrasperma, 10380, 5399
Neurospora_tetrasperma, 11186, 5582
Nosema_apis, 2764, 298
Nosema_bombycis, 4468, 527
Nosema_ceranae, 2060, 123
Nosema_ceranae, 3209, 168
Ogataea_parapolymorpha, 5325, 1634
Ogataea_polymorpha, 5173, 1425
Oidiodendron_maius, 16702, 4774
Ophiocordyceps_australis, 7992, 3907
Ophiocordyceps_australis, 8171, 3898
Ophiocordyceps_camponoti, 7618, 3819
Ophiocordyceps_sinensis, 6972, 3355
Ophiocordyceps_unilateralis, 8577, 4293
Ophiostoma_piceae, 8884, 4737
Ordospora_colligata, 1820, 140
Pachysolen_tannophilus, 46, 13
Paracoccidioides_brasiliensis, 8070, 4003
Paracoccidioides_brasiliensis, 8324, 4080
Paracoccidioides_brasiliensis, 8427, 4132
Paracoccidioides_brasiliensis, 8390, 4090
Paracoccidioides_sp, 8826, 4176
Paramicrosporidium_saccamoebae, 3766, 1041
Paraphaeosphaeria_sporulosa, 14734, 5617
Paxillus_involutus, 11740, 3751
Paxillus_rubicundulus, 22036, 5995
Penicilliopsis_zonata, 9870, 3951
Penicillium_antarcticum, 11514, 4541
Penicillium_arizonense, 12253, 4753
Penicillium_brasilianum, 11943, 4790
Penicillium_brasilianum, 10352, 4291
Penicillium_camemberti, 14418, 5116
Penicillium_chrysogenum, 11198, 4745
Penicillium_coprophilum, 8999, 3708
Penicillium_decumbens, 7149, 3276
Penicillium_digitatum, 8961, 3694
Penicillium_digitatum, 9133, 3817
Penicillium_expansum, 11023, 4322
Penicillium_expansum, 11060, 4315
Penicillium_expansum, 10663, 4101
Penicillium_flavigenum, 10994, 4375
Penicillium_freii, 11739, 4415
Penicillium_griseofulvum, 9630, 4048
Penicillium_italicum, 9996, 4132
Penicillium_nalgiovense, 11853, 4880
Penicillium_nordicum, 12959, 4491
Penicillium_occitanis, 11267, 4251
Penicillium_occitanis, 11231, 4234
Penicillium_oxalicum, 9979, 4352
Penicillium_polonicum, 10694, 4250
Penicillium_roqueforti, 12319, 4437
Penicillium_rubens, 12557, 4912
Penicillium_solitum, 11889, 4632
Penicillium_steckii, 10362, 4210
Penicillium_subrubescens, 14177, 4939
Penicillium_vulpinum, 10278, 4061
Peniophora_sp, 18945, 6466
Periconia_macrospinosa, 18735, 6509
Pestalotiopsis_fici, 15413, 5864
Pezoloma_ericae, 16783, 5913
Phaeoacremonium_minimum, 8834, 3281
Phaeomoniella_chlamydospora, 6907, 3390
Phaeosphaeria_nodorum, 12391, 5096
Phanerochaete_carnosa, 13925, 4557
Phellinus_noxius, 9820, 4431
Phialocephala_scopiformis, 18567, 6063
Phialocephala_subalpina, 20173, 7573
Phialophora_americana, 11909, 5675
Phialophora_attae, 11848, 5486
Phlebia_centrifuga, 13684, 5165
Phlebiopsis_gigantea, 11855, 4292
Pichia_kudriavzevii, 7107, 2291
Pichia_kudriavzevii, 5470, 1808
Pichia_kudriavzevii, 4949, 1797
Pichia_kudriavzevii, 5155, 1798
Pichia_membranifaciens, 4163, 1887
Pichia_membranifaciens, 5542, 1901
Piloderma_croceum, 21524, 6062
Piromyces_finnis, 10978, 3742
Piromyces_sp, 14612, 4025
Pisolithus_microcarpus, 20982, 5441
Pisolithus_tinctorius, 22653, 6460
Pleurotus_ostreatus, 12296, 4457
Plicaturopsis_crispa, 2717, 1081
Pneumocystis_carinii, 3646, 683
Pneumocystis_jirovecii, 3761, 714
Pneumocystis_murina, 3623, 541
Pochonia_chlamydosporia, 14204, 5305
Podospora_anserina, 10548, 5067
Polytolypa_hystricis, 9934, 4600
Postia_placenta, 9083, 3932
Postia_placenta, 12539, 4912
Protomyces_lactucaedebilis, 6725, 2239
Pseudocercospora_fijiensis, 13066, 4950
Pseudocercospora_musae, 13129, 5646
Pseudogymnoascus_destructans, 9153, 4462
Pseudogymnoascus_destructans, 9405, 4594
Pseudogymnoascus_sp, 10252, 4425
Pseudogymnoascus_sp, 10514, 4590
Pseudogymnoascus_sp, 10762, 4633
Pseudogymnoascus_sp, 10269, 4310
Pseudogymnoascus_sp, 9802, 4439
Pseudogymnoascus_sp, 9482, 4150
Pseudogymnoascus_sp, 9472, 3673
Pseudogymnoascus_sp, 9929, 4353
Pseudogymnoascus_sp, 8540, 3987
Pseudogymnoascus_sp, 8728, 4187
Pseudogymnoascus_sp, 8669, 4091
Pseudogymnoascus_sp, 8865, 3969
Pseudogymnoascus_sp, 10676, 4732
Pseudogymnoascus_sp, 9363, 4364
Pseudogymnoascus_sp, 10744, 4791
Pseudogymnoascus_sp, 11619, 5100
Pseudogymnoascus_sp, 10630, 4666
Pseudogymnoascus_sp, 11551, 4901
Pseudogymnoascus_sp, 11033, 4722
Pseudogymnoascus_verrucosus, 10685, 4536
Pseudoloma_neurophilia, 3644, 579
Pseudomassariella_vexata, 12565, 4672
Pseudomicrostroma_glucosiphilum, 6681, 3969
Pseudozyma_hubeiensis, 7472, 4103
Puccinia_coronata, 28270, 14487
Puccinia_graminis, 15979, 7886
Puccinia_graminisug99, 24524, 11913
Puccinia_sorghi, 21078, 6062
Puccinia_striiformis, 18019, 7417
Puccinia_striiformis, 20502, 9596
Puccinia_striiformis, 15090, 7298
Puccinia_triticina, 11638, 6314
Punctularia_strigosozonata, 2097, 762
Purpureocillium_lilacinum, 11773, 5402
Purpureocillium_lilacinum, 11763, 5431
Purpureocillium_lilacinum, 13150, 7839
Pyrenochaeta_sp, 14990, 5663
Pyrenophora_teres, 11799, 5343
Pyrenophora_tritici, 12086, 5096
Pyrenophora_tritici, 11072, 4961
Pyrenophora_tritici, 11239, 5006
Pyrenophora_tritici, 12525, 5249
Pyrenophora_triticirepentis, 12169, 5430
Rachicladosporium_antarcticum, 18781, 9140
Rachicladosporium_sp, 18892, 9026
Ramularia_collo, 11622, 5193
Rasamsonia_emersonii, 9843, 4705
Rhinocladiella_mackenziei, 11382, 4912
Rhizoclosmatium_globosum, 16987, 5095
Rhizoctonia_solani, 10993, 4472
Rhizoctonia_solani, 10489, 3813
Rhizoctonia_solani, 12209, 4763
Rhizoctonia_solani, 12726, 5250
Rhizoctonia_solani, 13951, 4856
Rhizoctonia_solani, 11897, 5291
Rhizophagus_clarus, 27761, 6541
Rhizophagus_irregularis, 43673, 10281
Rhizophagus_irregularis, 26147, 5068
Rhizophagus_irregularis, 29911, 6768
Rhizophagus_irregularis, 26476, 5447
Rhizophagus_irregularis, 26373, 5851
Rhizophagus_irregularis, 26618, 5451
Rhizophagus_irregularis, 26430, 5561
Rhizopogon_vesiculosus, 14197, 4677
Rhizopogon_vinicolor, 14465, 4148
Rhizopus_delemar, 17459, 4493
Rhizopus_microsporus, 10891, 2897
Rhizopus_microsporus, 20087, 5992
Rhizopus_microsporus, 11352, 2966
Rhizopus_microsporus, 22427, 6981
Rhizopus_microsporus, 11496, 3017
Rhodotorula_graminis, 7278, 3866
Rhodotorula_sp, 6681, 3366
Rhodotorula_taiwanensis, 7014, 4017
Rhodotorula_toruloides, 2817, 1806
Rhodotorula_toruloides, 7538, 4256
Rhodotorula_toruloides, 8140, 4644
Rhynchosporium_agropyri, 13673, 5275
Rhynchosporium_commune, 12211, 5045
Rhynchosporium_secalis, 13145, 5162
Rosellinia_necatrix, 12444, 5490
Rozella_allomycis, 6350, 1174
Rutstroemia_sp, 10975, 4160
Rutstroemia_sp, 9320, 3859
Rutstroemia_sp, 10968, 4609
Saccharomyces_arboricola, 3659, 1414
Saccharomyces_cerevisiae, 6600, 2117
Saccharomyces_cerevisiae, 5451, 2037
Saccharomyces_cerevisiae, 6017, 1947
Saccharomyces_cerevisiae, 3689, 1119
Saccharomyces_cerevisiae, 3575, 1037
Saccharomyces_cerevisiae, 6319, 2144
Saccharomyces_cerevisiae, 5445, 1970
Saccharomyces_cerevisiae, 5327, 2063
Saccharomyces_cerevisiae, 5795, 2101
Saccharomyces_cerevisiae, 4022, 1221
Saccharomyces_cerevisiae, 4400, 1574
Saccharomyces_cerevisiae, 4767, 1650
Saccharomyces_cerevisiae, 5045, 1792
Saccharomyces_cerevisiae, 5377, 1943
Saccharomyces_cerevisiae, 3930, 1221
Saccharomyces_cerevisiae, 4025, 1228
Saccharomyces_cerevisiae, 9143, 3089
Saccharomyces_cerevisiae, 5424, 2010
Saccharomyces_cerevisiae, 5403, 2019
Saccharomyces_cerevisiae, 5475, 2027
Saccharomyces_cerevisiae, 5333, 1965
Saccharomyces_cerevisiae, 5441, 2018
Saccharomyces_cerevisiae, 5471, 2031
Saccharomyces_cerevisiae, 5403, 2005
Saccharomyces_cerevisiae, 5394, 2006
Saccharomyces_cerevisiae, 5402, 2000
Saccharomyces_cerevisiae, 5363, 1978
Saccharomyces_cerevisiae, 5319, 1989
Saccharomyces_cerevisiae, 5328, 1968
Saccharomyces_cerevisiae, 5391, 2002
Saccharomyces_cerevisiae, 5467, 2050
Saccharomyces_cerevisiae, 5381, 2006
Saccharomyces_cerevisiae, 5414, 2005
Saccharomyces_cerevisiae, 5437, 2024
Saccharomyces_cerevisiae, 5431, 2014
Saccharomyces_cerevisiae, 5462, 2034
Saccharomyces_cerevisiae, 5421, 2010
Saccharomyces_cerevisiae, 5420, 2020
Saccharomyces_cerevisiae, 5445, 2021
Saccharomyces_cerevisiae, 5409, 2021
Saccharomyces_cerevisiae, 5371, 2005
Saccharomyces_cerevisiae, 5465, 2026
Saccharomyces_cerevisiae, 5470, 2031
Saccharomyces_cerevisiae, 5427, 2017
Saccharomyces_cerevisiae, 5441, 2029
Saccharomyces_cerevisiae, 5377, 2005
Saccharomyces_cerevisiae, 5453, 2034
Saccharomyces_cerevisiae, 5398, 2014
Saccharomyces_cerevisiae, 5385, 2014
Saccharomyces_cerevisiae, 5227, 1957
Saccharomyces_cerevisiae, 5414, 2028
Saccharomyces_cerevisiae, 5362, 2009
Saccharomyces_cerevisiae, 5452, 2034
Saccharomyces_cerevisiae, 5469, 2023
Saccharomyces_cerevisiae, 5441, 2018
Saccharomyces_cerevisiae, 5424, 2031
Saccharomyces_cerevisiae, 5412, 2009
Saccharomyces_cerevisiae, 5379, 2002
Saccharomyces_cerevisiae, 5466, 2050
Saccharomyces_cerevisiae, 5376, 2016
Saccharomyces_cerevisiae, 5283, 1980
Saccharomyces_cerevisiae, 5362, 2002
Saccharomyces_cerevisiae, 5224, 1940
Saccharomyces_cerevisiae, 5377, 2003
Saccharomyces_cerevisiae, 5379, 2007
Saccharomyces_cerevisiae, 5371, 2002
Saccharomyces_cerevisiae, 5429, 2011
Saccharomyces_cerevisiae, 5414, 2006
Saccharomyces_cerevisiae, 5411, 2026
Saccharomyces_cerevisiae, 5363, 1977
Saccharomyces_cerevisiae, 5397, 2009
Saccharomyces_cerevisiae, 5452, 2032
Saccharomyces_cerevisiae, 5451, 2031
Saccharomyces_cerevisiae, 5359, 1992
Saccharomyces_cerevisiae, 5393, 2023
Saccharomyces_cerevisiae, 5412, 2020
Saccharomyces_cerevisiae, 5437, 2020
Saccharomyces_cerevisiae, 5410, 2001
Saccharomyces_cerevisiae, 5371, 2032
Saccharomyces_cerevisiae, 5329, 1975
Saccharomyces_cerevisiae, 5390, 1989
Saccharomyces_cerevisiae, 5427, 2026
Saccharomyces_cerevisiae, 5367, 1981
Saccharomyces_cerevisiae, 5387, 2000
Saccharomyces_cerevisiae, 5416, 2015
Saccharomyces_cerevisiae, 5401, 2005
Saccharomyces_cerevisiae, 5435, 2026
Saccharomyces_cerevisiae, 5405, 2020
Saccharomyces_cerevisiae, 5391, 2001
Saccharomyces_cerevisiae, 5475, 2050
Saccharomyces_cerevisiae, 5393, 2011
Saccharomyces_cerevisiae, 5398, 2013
Saccharomyces_cerevisiae, 5358, 1994
Saccharomyces_cerevisiae, 5457, 2034
Saccharomyces_cerevisiae, 5398, 2031
Saccharomyces_cerevisiae, 5397, 2015
Saccharomyces_cerevisiae, 5440, 2037
Saccharomyces_cerevisiae, 5461, 2032
Saccharomyces_cerevisiae, 5391, 1997
Saccharomyces_cerevisiae, 5372, 1996
Saccharomyces_cerevisiae, 5902, 2157
Saccharomyces_cerevisiae, 5451, 2022
Saccharomyces_cerevisiae, 5438, 2013
Saccharomyces_cerevisiae, 5433, 2015
Saccharomyces_cerevisiae, 5446, 2020
Saccharomyces_cerevisiae, 5476, 2031
Saccharomyces_cerevisiae, 5424, 2008
Saccharomyces_cerevisiae, 5482, 2027
Saccharomyces_cerevisiae, 5385, 1985
Saccharomyces_cerevisiae, 5470, 2029
Saccharomyces_cerevisiae, 5474, 2034
Saccharomyces_eubayanus, 5379, 2096
Saccharomyces_kudriavzevii, 3764, 1247
Saccharomyces_sp, 5482, 2130
Saccharomyces_sp, 5493, 2131
Saccharomycetaceae_sp, 4487, 1649
Saitoella_complicata, 7119, 3435
Saitoella_complicata, 7034, 2813
Scedosporium_apiospermum, 8376, 3735
Scheffersomyces_stipitis, 5818, 1905
Schizophyllum_commune, 13194, 5655
Schizopora_paradoxa, 17089, 5691
Schizosaccharomyces_cryophilus, 5180, 1705
Schizosaccharomyces_japonicus, 4878, 1617
Schizosaccharomyces_octosporus, 4986, 1693
Schizosaccharomyces_pombe, 5146, 1476
Scleroderma_citrinum, 20995, 5648
Sclerotinia_borealis, 10166, 4956
Sclerotinia_sclerotiorum, 10175, 3539
Sclerotinia_sclerotiorum, 11130, 4948
Serendipita_indica, 11766, 4920
Serendipita_vermifera, 15245, 5389
Serpula_lacrymans, 14481, 4366
Serpula_lacrymans, 12925, 4079
Sistotremastrum_niveocremeum, 13076, 4804
Sistotremastrum_suecicum, 13654, 4844
Sordaria_macrospora, 9898, 5616
Spathaspora_passalidarum, 5983, 2023
Sphaerobolus_stellatus, 25079, 7047
Sphaerulina_musiva, 10156, 4749
Spizellomyces_punctatus, 9422, 4469
Sporisorium_reilianum, 6673, 3948
Sporisorium_reilianum, 6682, 3966
Sporothrix_brasiliensis, 9091, 5055
Sporothrix_insectorum, 9496, 5272
Sporothrix_schenckii, 10293, 5633
Sporothrix_schenckii, 8674, 4780
Spraguea_lophii, 2499, 377
Stachybotrys_chartarum, 11368, 4945
Stachybotrys_chartarum, 11453, 5014
Stachybotrys_chartarum, 11530, 5032
Stachybotrys_chlorohalonata, 10706, 4687
Stagonospora_sp, 14425, 5576
Stemphylium_lycopersici, 8997, 4738
Stereum_hirsutum, 1612, 662
Sugiyamaella_lignohabitans, 5135, 2355
Suhomyces_tanzawaensis, 5885, 1891
Suillus_luteus, 18303, 4928
Syncephalastrum_racemosum, 11121, 4264
Talaromyces_atroroseus, 9523, 4042
Talaromyces_cellulolyticus, 1618, 498
Talaromyces_islandicus, 9927, 4199
Talaromyces_marneffei, 10638, 4496
Talaromyces_marneffei, 13044, 5718
Talaromyces_stipitatus, 13252, 5079
Termitomyces_sp, 11143, 3762
Testicularia_cyperi, 7069, 3865
Tetrapisispora_blattae, 5389, 2271
Tetrapisispora_phaffii, 5253, 1794
Thermothelomyces_thermophila, 9097, 4815
Thielavia_terrestris, 9802, 4887
Thielaviopsis_punctulata, 5296, 2540
Tilletia_caries, 10204, 6059
Tilletia_controversa, 9860, 5994
Tilletia_indica, 9548, 5965
Tilletia_walkeri, 7970, 4907
Tilletiaria_anomala, 6808, 3429
Tilletiopsis_washingtonensis, 7007, 3972
Tolypocladium_capitatum, 7646, 4134
Tolypocladium_ophioglossoides, 9317, 4572
Tolypocladium_paradoxum, 8983, 4473
Torrubiella_hemipterigena, 11471, 4468
Tortispora_caseinolytica, 4657, 1253
Torulaspora_delbrueckii, 4972, 1755
Trachipleistophora_hominis, 3212, 566
Trametes_cinnabarina, 10233, 4984
Trametes_coccinea, 12693, 5362
Trametes_pubescens, 14438, 6341
Trametes_versicolor, 1029, 412
Tremella_mesenterica, 1456, 776
Trichoderma_asperellum, 12557, 4483
Trichoderma_atroviride, 11816, 4220
Trichoderma_citrinoviride, 9735, 4234
Trichoderma_gamsii, 11179, 4469
Trichoderma_guizhouense, 11255, 4455
Trichoderma_harzianum, 14065, 4755
Trichoderma_harzianum, 11498, 4669
Trichoderma_harzianum, 13925, 4688
Trichoderma_harzianum, 11264, 4554
Trichoderma_longibrachiatum, 10934, 4531
Trichoderma_parareesei, 9062, 4245
Trichoderma_reesei, 9115, 3922
Trichoderma_reesei, 9849, 4185
Trichoderma_virens, 12406, 4297
Trichophyton_benhamiae, 7980, 4035
Trichophyton_equinum, 8676, 4062
Trichophyton_interdigitale, 8397, 4031
Trichophyton_interdigitale, 8282, 3961
Trichophyton_mentagrophytes, 7860, 3865
Trichophyton_rubrum, 10637, 4645
Trichophyton_rubrum, 10418, 4433
Trichophyton_rubrum, 10820, 4743
Trichophyton_rubrum, 10653, 4643
Trichophyton_rubrum, 10598, 4626
Trichophyton_rubrum, 10776, 4525
Trichophyton_rubrum, 10659, 4651
Trichophyton_rubrum, 7051, 3736
Trichophyton_rubrum, 10643, 4665
Trichophyton_rubrum, 10813, 4559
Trichophyton_rubrum, 10686, 4658
Trichophyton_soudanense, 10671, 4645
Trichophyton_tonsurans, 8521, 3996
Trichophyton_verrucosum, 8028, 4024
Trichophyton_violaceum, 7037, 3541
Trichosporon_asahii, 8311, 4748
Trichosporon_asahii, 8528, 4835
Tsuchiyaea_wingfieldii, 8098, 4361
Tuber_borchii, 12345, 4923
Tuber_magnatum, 9431, 3925
Tuber_melanosporum, 7496, 3317
Tulasnella_calospora, 19554, 6718
Umbilicaria_pustulata, 8268, 3965
Uncinocarpus_reesii, 7760, 3658
Ustilaginoidea_virens, 8426, 4382
Ustilaginoidea_virens, 6451, 3109
Ustilaginomycotina_sp, 8058, 4446
Ustilago_bromivora, 7227, 4098
Ustilago_hordei, 7110, 4089
Ustilago_maydis, 6783, 3759
Valsa_mali, 11165, 5331
Valsa_mali, 10741, 5074
Vanderwaltozyma_polyspora, 5367, 1905
Vavraia_culicis, 2773, 523
Verruconis_gallopava, 11357, 4984
Verticillium_alfalfae, 10237, 4800
Verticillium_dahliae, 10535, 5012
Verticillium_dahliae, 10613, 4914
Verticillium_dahliae, 9990, 4586
Verticillium_dahliae, 10371, 4739
Verticillium_dahliae, 10415, 4743
Verticillium_dahliae, 9986, 4600
Verticillium_dahliaejr2, 11404, 5327
Verticillium_longisporum, 20793, 9249
Verticillium_longisporum, 21072, 9116
Vittaforma_corneae, 2238, 209
Wallemia_ichthyophaga, 4865, 2300
Wallemia_mellicola, 5277, 1900
Wickerhamiella_sorbophila, 4741, 1559
Wickerhamomyces_anomalus, 6421, 1944
Wickerhamomyces_ciferrii, 6702, 2570
Wolfiporia_cocos, 12212, 4871
Xanthophyllomyces_dendrorhous, 6380, 3324
Xylona_heveae, 8201, 4023
Yarrowia_lipolytica, 6448, 2768
Yarrowia_lipolytica, 7949, 2967
Yarrowia_lipolytica, 6417, 2744
Zygosaccharomyces_bailii, 4723, 1713
Zygosaccharomyces_bailii, 5141, 1834
Zygosaccharomyces_bailii, 9925, 3532
Zygosaccharomyces_parabailii, 10086, 3609
Zygosaccharomyces_rouxii, 4991, 1978
Zygosaccharomyces_rouxii, 10038, 3923
Zymoseptoria_brevis, 10566, 5198
Zymoseptoria_tritici, 10931, 4553
Zymoseptoria_tritici, 12072, 5830
Zymoseptoria_tritici, 12023, 5753
Zymoseptoria_tritici, 11991, 5768
Zymoseptoria_tritici, 11726, 5394
_candida_arabinofermentans, 5830, 1939
_candida_auris, 7461, 1993
_candida_auris, 5417, 2144
_candida_auris, 5520, 2172
_candida_auris, 5382, 2131
_candida_auris, 5437, 2153
_candida_duobushaemulonis, 5173, 2134
_candida_glabrata, 5202, 1972
_candida_glabrata, 5214, 2019
_candida_glabrata, 5191, 1994
_candida_glabrata, 5331, 2044
_candida_glabrata, 5293, 2035
_candida_glabrata, 5985, 2314
_candida_glabrata, 5317, 2047
_candida_glabrata, 5293, 2015
_candida_glabrata, 5297, 2019
_candida_haemulonis, 5249, 2231
_candida_intermedia, 5931, 1895
_candida_intermedia, 6050, 1916
_candida_pseudohaemulonis, 5134, 1930
_candida_tenuis, 6985, 1860
